comment,theme,difficulty
Mentoring programme is very well structured,career_growth,direct
I led something end-to-end for the first time recently,career_growth,indirect
I appreciate that meetings are kept within core hours,work_life_balance,direct
I have gained more skills here than in ten years elsewhere,career_growth,direct
I fall asleep thinking about tomorrow's inbox,work_life_balance,indirect
I don't set an alarm for Sunday nights with dread anymore,work_life_balance,indirect
No real sense of team or community,culture,direct
Date nights keep getting cancelled at the last minute,work_life_balance,indirect
Someone senior actually invested time showing me the ropes,career_growth,indirect
Senior leaders are invisible and unapproachable,management,direct
Management actively encourages you to take your full leave allowance,work_life_balance,direct
I can be myself at work without worrying what people think,culture,indirect
I haven't taken a proper lunch break in months,work_life_balance,direct
I cancelled my plans twice this month already,work_life_balance,indirect
My supervisor is quick to defend the team when needed,management,direct
I've never had to work through a lunch break,work_life_balance,direct
New responsibilities always go to someone brought in from outside,career_growth,indirect
It feels like nobody really likes coming in anymore,culture,indirect
The company funded my professional certification in full,career_growth,direct
People check in on you even outside of work stuff,culture,indirect
I'm running on empty most days,work_life_balance,indirect
You can actually switch off after work hours,work_life_balance,direct
It took months before anyone remembered my name,culture,indirect
Nobody ever offered to show me anything beyond my basic tasks,career_growth,indirect
"Great work-life balance, very flexible with hours",work_life_balance,direct
I've stopped suggesting ideas since they're usually ignored,culture,indirect
My manager advocates for the team with senior leadership,management,direct
Qualifications are not valued or supported here,career_growth,direct
I got moved into a bigger role faster than I expected,career_growth,indirect
Management listens to feedback and acts on it,management,direct
Certain people's opinions always seem to matter more than others,culture,indirect
I found out about my own project change secondhand,management,indirect
There's always something new to figure out here,career_growth,indirect
Working from home just means working longer hours,work_life_balance,direct
There's a transparent process for applying to internal roles,career_growth,direct
Management invests in the team's wellbeing,management,direct
Clear direction from leadership even in uncertain times,management,direct
"Cross-team collaboration happens naturally, not just on paper",culture,direct
Leadership seems detached from what teams actually deal with,management,direct
"Feedback from leadership is constructive, not harsh",management,direct
Someone I barely know covered for me without hesitation,culture,indirect
Deadlines are set with zero regard for capacity,work_life_balance,direct
I've missed my kid's school events more than I'd like to admit,work_life_balance,indirect
The stress levels here are unsustainable long term,work_life_balance,direct
I've started cooking proper meals again on weeknights,work_life_balance,indirect
I feel comfortable admitting when I've got something wrong,culture,indirect
My supervisor makes time for me even when busy,management,direct
Someone senior actually asked for my opinion on the plan,management,indirect
"Work-life balance is non-existent, always firefighting",work_life_balance,direct
Whoever is above me takes the credit and passes down the blame,management,indirect
I feel trusted to manage my own schedule,work_life_balance,direct
Bullying is known about but never addressed,culture,direct
Feedback culture here is open and non-defensive,culture,direct
I'm exhausted every single evening,work_life_balance,indirect
Newcomers get frozen out for months,culture,indirect
Hybrid working gives me the balance I need,work_life_balance,direct
No career development conversations have ever taken place,career_growth,direct
"I found out about a major change from a colleague, not my boss",management,indirect
I can leave on time most days without any pushback,work_life_balance,direct
My supervisor avoids difficult conversations entirely,management,direct
Micromanagement is a real problem here,management,direct
My skills feel exactly the same as they did two years ago,career_growth,indirect
"Promotions seem to go to whoever shouts loudest, not who's ready",career_growth,direct
Saturdays now feel like an extension of the office,work_life_balance,indirect
Leadership is transparent and communicates clearly,management,direct
The company genuinely supports flexible scheduling,work_life_balance,direct
Recognition always seems to go to the same small group,culture,direct
The path forward here is really clear,career_growth,indirect
I've seen new starters quietly struggle with no one checking in,culture,indirect
There's no room to breathe between deadlines,work_life_balance,indirect
Toxic culture of blame and fear pervades the organisation,culture,direct
My manager trusts me to make my own decisions,management,direct
Remote working options are excellent here,work_life_balance,direct
Deadlines are realistic and rarely require extra hours,work_life_balance,direct
Nobody keeps score of who does what around here,culture,indirect
Internal job adverts are shared well before external ones,career_growth,direct
Promised development opportunities that never materialised,career_growth,direct
People celebrate each other's wins here,culture,indirect
I dread one to ones because they're always negative,management,indirect
There's a real next step waiting for me here,career_growth,indirect
Hours are very reasonable and nobody expects you to work late,work_life_balance,direct
The organisation genuinely values employee wellbeing,work_life_balance,direct
The organisation invests heavily in staff development,career_growth,direct
There is zero budget left for any kind of training now,career_growth,direct
I had to leave to actually move forward,career_growth,indirect
You can genuinely disconnect once you log off,work_life_balance,indirect
"The learning platform here has excellent, relevant content",career_growth,direct
Inclusive workplace where everyone feels valued,culture,direct
"Very open door policy, you can raise issues freely",management,direct
I feel like a stranger in my own home some weeks,work_life_balance,indirect
My manager set out a concrete 12-month development plan with me,career_growth,direct
The organisation's values are visible in everyday decisions,culture,direct
My manager helped me through a difficult period at work,management,direct
No training opportunities whatsoever in this role,career_growth,direct
I know exactly what's expected of me each week,management,indirect
"No politics or backstabbing, very honest culture",culture,direct
I've seen people mistreated and nobody says anything,culture,indirect
I got invited out by colleagues within my first week,culture,indirect
My manager pushed me to apply for a promotion I hadn't considered,career_growth,direct
"Everything feels urgent all the time, it's relentless",work_life_balance,indirect
My manager introduced me to senior stakeholders to build my network,career_growth,direct
My manager checks in regularly and gives useful feedback,management,direct
Annual leave is easy to book and is never questioned,work_life_balance,direct
There's no guilt around taking a proper break,work_life_balance,indirect
Feedback from my manager is inconsistent and unclear,management,direct
Workload is manageable and evenly distributed,work_life_balance,direct
No expectation to answer emails outside working hours,work_life_balance,direct
My line manager pushed for my recent pay rise,management,direct
Bullying has been reported repeatedly with no consequences,culture,direct
The culture actively supports work friendships and community,culture,direct
Leadership shares the reasoning behind big decisions,management,direct
I trust the people I work with completely,culture,indirect
I watched someone less experienced get the role I wanted,career_growth,indirect
There's a real buzz in the room during team catch ups,culture,indirect
I keep getting told 'maybe next year' about progression,career_growth,indirect
I actually get to see my kids before bedtime most nights,work_life_balance,indirect
I can't remember the last time I felt rested,work_life_balance,indirect
Someone senior noticed my work and mentioned it unprompted,career_growth,indirect
Excellent employee networks for underrepresented groups,culture,direct
People come to me for advice on things I couldn't do last year,career_growth,indirect
My line manager is dismissive of any pushback,management,direct
Management recognises and rewards good work,management,direct
Work demands never spill into evenings or weekends,work_life_balance,direct
"Wellbeing initiatives here feel authentic, not a tick-box exercise",culture,direct
I regularly miss family events because of work demands,work_life_balance,direct
The people running this place don't seem to know what's going on day to day,management,indirect
There's a culture of silence around raising real concerns,culture,direct
Staff networks have real influence on policy decisions,culture,direct
"Praise actually happens here, not just criticism",management,indirect
There's genuine support for further academic study,career_growth,direct
Fun and energetic place to work despite challenges,culture,direct
Leadership communicates changes well in advance,management,direct
The career ladder here just isn't clear at all,career_growth,direct
Favourites get away with things the rest of us wouldn't,management,indirect
Very consistent and fair management approach,management,direct
Every suggestion I make gets brushed aside,management,indirect
No mentoring or coaching available to junior staff,career_growth,direct
My next step here feels obvious and achievable,career_growth,indirect
Cross-functional projects give great breadth of experience,career_growth,direct
Very collaborative environment with no blame culture,culture,direct
The wellbeing days off are a great addition,work_life_balance,direct
"The management style is collaborative, not top-down",management,direct
Nobody has mentioned my future here in a long time,career_growth,indirect
My manager takes sole credit for team achievements,management,direct
I've stopped bringing up concerns because nothing changes,management,indirect
I finally feel ready to apply for something bigger,career_growth,indirect
Cover for absence is non-existent so workload just piles up,work_life_balance,direct
Leadership team is honest even when delivering difficult news,management,direct
The people in charge explain the 'why' behind changes,management,indirect
New ideas get a fair hearing even from the newest person in the room,culture,indirect
The team respects your time outside of work,work_life_balance,direct
The onboarding experience makes new starters feel instantly welcome,culture,direct
Nothing I've done here would look good on my next application,career_growth,indirect
My manager only ever contacts me to assign more work,management,direct
They offer flexible start and finish times which really helps,work_life_balance,direct
Whoever's in charge seems to avoid me on purpose,management,indirect
Senior leaders are visible and approachable,management,direct
My phone stays in my bag after 6pm now,work_life_balance,indirect
Social events and team building are well organised,culture,direct
I've noticed the same few people get all the shout-outs,culture,indirect
People smile to your face and complain behind your back,culture,indirect
Regular development conversations with my manager,career_growth,direct
I've been trusted with something outside my usual lane,career_growth,indirect
The person I answer to checks in on how I'm doing,management,indirect
Discrimination complaints are handled poorly if at all,culture,direct
I'm present at the dinner table instead of on my laptop,work_life_balance,indirect
Certain people get away with anything,culture,indirect
I always know where I stand with the people running things,management,indirect
The management team owns its mistakes openly,management,direct
Skills learned here are not transferable or marketable,career_growth,direct
I haven't had a proper weekend in a month,work_life_balance,indirect
I sleep better since starting this job,work_life_balance,indirect
Leadership changes direction constantly with no explanation,management,direct
My holiday photos are full of me checking emails,work_life_balance,indirect
Senior leaders take time to understand each team's challenges,management,direct
Whistleblowing concerns are ignored or buried,culture,direct
I've forgotten what a relaxed Sunday feels like,work_life_balance,indirect
I get dedicated time each month for learning and development,career_growth,direct
Nobody emails me after 6pm expecting a reply,work_life_balance,indirect
Too much pressure and not enough resource,work_life_balance,direct
I never feel guilty logging off at 5pm,work_life_balance,direct
My manager is fair when allocating workload,management,direct
Decisions are made without consulting the people affected,management,direct
I don't second guess myself before raising a concern,management,indirect
I finally have energy left for my hobbies after work,work_life_balance,indirect
Nobody seems to notice when I go above and beyond,management,indirect
Cliques and favouritism dominate the workplace,culture,direct
My manager actively champions my career aspirations,career_growth,direct
New ideas are welcomed and taken seriously,culture,direct
The person above me only shows up when something's wrong,management,indirect
My manager takes credit for the team's work,management,direct
My manager encourages me to challenge decisions respectfully,management,direct
You learn quickly not to say what you really think in meetings,culture,indirect
Evenings feel like mine again,work_life_balance,indirect
There's a genuine culture of saying thank you here,culture,direct
Leadership actively role-models inclusive behaviour,culture,direct
Team socials are inclusive and nobody feels left out,culture,direct
"The stated values feel like a poster, not a practice",culture,direct
People are quick to offer help without being asked,culture,direct
Real sense of purpose and mission in the organisation,culture,direct
The person above me remembers small details about my work,management,indirect
Lots of internal mobility and secondment opportunities,career_growth,direct
There's a version of me a year from now that looks different,career_growth,indirect
Sponsorship for external courses and conferences,career_growth,direct
I got asked to represent the team at a senior meeting,career_growth,indirect
No consistency in how policies are applied across teams,management,direct
Job sharing arrangements are genuinely well supported,work_life_balance,direct
"Part-time options are genuinely supported here, not just on paper",work_life_balance,direct
The stated values bear no resemblance to actual behaviour,culture,direct
Whoever's in charge treats mistakes as something to learn from,management,indirect
Internal vacancies are filled externally which is demoralising,career_growth,direct
Managers empower you rather than micromanaging,management,direct
Instructions change every week with no explanation,management,indirect
Racism and discrimination go unchallenged here,culture,direct
I feel like I've plateaued completely,career_growth,indirect
Leaders genuinely walk the talk on culture,management,direct
It's easy to speak up in meetings without fear,culture,indirect
Nobody has ever asked what I want to do next,career_growth,indirect
I've never once felt like an outsider here,culture,indirect
My CV actually looks different to how it did a year ago,career_growth,indirect
Nobody talks behind your back here,culture,indirect
Nobody above me takes credit for my work,management,indirect
The only way to progress here is to already know someone senior,career_growth,direct
Leadership is approachable during town halls,management,direct
Senior leaders are rarely seen outside of presentations,management,direct
I've learned not to expect a reply to important questions,management,indirect
"Credit for shared work always goes upward, never sideways",management,indirect
I eat lunch at my desk alone most days,culture,indirect
You can work from home which helps massively with commute stress,work_life_balance,direct
My career has progressed faster here than anywhere else,career_growth,direct
Praise is given publicly and criticism given privately,management,direct
Coaching sessions have sharpened my leadership skills,career_growth,direct
The apprenticeship scheme here is genuinely excellent,career_growth,direct
They say flexible working is available but in practice it isn't,work_life_balance,direct
Management is completely disconnected from day to day reality,management,direct
There's a real undercurrent of distrust between teams,culture,direct
Training budget was cut and never reinstated,career_growth,direct
People here actually show up for each other when things get tough,culture,indirect
I don't feel like I can be honest without it being held against me,culture,indirect
Cliques dominate certain teams and outsiders are made to feel it,culture,direct
Everyone's just waiting to leave,culture,indirect
"Feedback is always negative, never any recognition",management,direct
I haven't had an uninterrupted evening in weeks,work_life_balance,indirect
"No psychological safety, people are afraid to speak up",culture,direct
Workload doubled after restructure with no extra support,work_life_balance,direct
There's finally time for a walk at lunch,work_life_balance,indirect
It's easy to be honest without it turning into a thing,culture,indirect
Leaders model the values they expect from staff,management,direct
I was offered a lateral move to build broader experience,career_growth,direct
Nobody's ever sat down and asked about my ambitions,career_growth,indirect
Regular one-to-ones with my manager are genuinely useful,management,direct
"My development is reviewed quarterly, not just once a year",career_growth,direct
I was thanked publicly for something I did last month,management,indirect
"I keep doing the same thing day in, day out",career_growth,indirect
Flexi-time lets me manage school pickups easily,work_life_balance,direct
Everyone gets treated the same regardless of who they are,culture,indirect
I've stopped checking my phone in the evening for work stuff,work_life_balance,indirect
I've picked my hobby back up after years away,work_life_balance,indirect
The organisation pays for relevant industry conferences,career_growth,direct
"I get useful pointers, not just a pass or fail",management,indirect
My manager cancels one-to-ones more often than not,management,direct
I have never felt burnt out in this role,work_life_balance,direct
Compressed hours option has been life changing for me,work_life_balance,direct
Burnt out within six months of starting,work_life_balance,direct
The person I report to disappears when things get hard,management,indirect
"My manager checks in on my wellbeing, not just my output",management,direct
Mistakes are treated as learning opportunities not failures,culture,direct
I keep getting passed over for the bigger jobs,career_growth,indirect
Been in the same role for five years with no progression,career_growth,direct
I'm too tired most evenings to do anything but sleep,work_life_balance,indirect
I'm answering emails at 11pm most nights,work_life_balance,direct
There's a clear skills matrix showing what's needed for the next grade,career_growth,direct
There's no real difference between my role now and when I started,career_growth,indirect
Diversity is celebrated not just tolerated,culture,direct
Nobody above me has ever asked how I'm doing,management,indirect
There's a real culture of protecting personal time here,work_life_balance,direct
The organisation lives its EDI commitments,culture,direct
Encouraged to pursue professional qualifications,career_growth,direct
Nobody has ever suggested a course or qualification to me,career_growth,direct
There's a strong anti-bullying stance that's actually enforced,culture,direct
Good balance between work demands and personal time,work_life_balance,direct
I was told there's no funding for external training this year,career_growth,direct
People are afraid to admit mistakes here,culture,direct
My manager is supportive and always has time for me,management,direct
No clear pathway to progress to the next grade,career_growth,direct
There's zero tolerance for discrimination and it's taken seriously,culture,direct
Annual appraisal genuinely drives development planning,career_growth,direct
Nobody in charge ever explains why things change,management,indirect
Even my days off feel like they're on standby,work_life_balance,indirect
Internal promotion rate is impressive,career_growth,direct
Nobody bats an eye if you need to duck out for an appointment,work_life_balance,indirect
Annual leave carries over without any hassle,work_life_balance,direct
Overtime is rare and always compensated fairly,work_life_balance,direct
I feel like I'm building something toward the future here,career_growth,indirect
Excellent training and development opportunities here,career_growth,direct
New starters are often left to sink or swim alone,culture,direct
"Impossible to switch off, always something urgent",work_life_balance,direct
Strong sense of belonging in this team,culture,direct
I was given a stretch assignment that grew my CV significantly,career_growth,direct
I'm doing things now I couldn't do a year ago,career_growth,indirect
I got asked what I want to be doing in a few years,career_growth,indirect
The person above me genuinely has my back,management,indirect
Everyone just looks out for themselves here,culture,indirect
Managers here are trained well and it shows,management,direct
I don't dread Monday mornings anymore,work_life_balance,indirect
My manager gives credit where it's due,management,direct
Management plays favourites and it affects morale,management,direct
Never had to cancel personal plans because of work pressure,work_life_balance,direct
My weekends belong to me here,work_life_balance,indirect
The team culture here is genuinely brilliant,culture,direct
They respect the 9-5 boundary which is rare,work_life_balance,direct
Management changes priorities without warning the team,management,direct
Holiday requests are approved without any fuss,work_life_balance,direct
"Mistakes are met with curiosity, not blame here",culture,indirect
Diversity is discussed but the reality is very different,culture,direct
Very good graduate development scheme,career_growth,direct
I've stopped bothering to ask about moving up,career_growth,indirect
"The organisation is transparent about its challenges, not just wins",culture,direct
Job shadowing opportunities are available across departments,career_growth,direct
Clear career pathways are mapped out from day one,career_growth,direct
Leadership scheme for high potential staff is excellent,career_growth,direct
I had to search for growth outside of work instead,career_growth,indirect
It genuinely feels like we're all rowing in the same direction,culture,indirect
I applied for three internal roles and never got feedback,career_growth,direct
I've never felt the need to filter myself in meetings,culture,indirect
I've made real friends through this job,culture,indirect
Colleagues are supportive and look out for each other,culture,direct
I got funded to go do something outside my usual role,career_growth,indirect
I have been promoted twice in three years,career_growth,direct
Whoever I report to actually listens when I raise something,management,indirect
The team covers for each other so nobody overworks,work_life_balance,direct
Organisation pays for professional membership fees,career_growth,direct
I'm left guessing what my boss actually wants from me,management,indirect
Staff are treated with dignity and respect,culture,direct
I've asked about progression three times with no real answer,career_growth,direct
My manager is an excellent coach and mentor,management,direct
Staff are guilt-tripped into skipping annual leave,work_life_balance,direct
The flexible working policy makes a huge difference to my family life,work_life_balance,direct
Nobody questions you for leaving at your contracted time,work_life_balance,direct
I actually made it to my daughter's recital this year,work_life_balance,indirect
Training budget is generous and easy to access,career_growth,direct
My manager never asks me to work weekends,work_life_balance,direct
People who work hard here actually get noticed and moved up,career_growth,indirect
My kids ask why I'm always on the phone,work_life_balance,indirect
The workplace feels genuinely safe to disagree in,culture,direct
There is no such thing as a quiet weekend anymore,work_life_balance,direct
People genuinely celebrate each other's successes,culture,direct
I've picked up so much just from being thrown into new projects,career_growth,indirect
Cross-training between teams has broadened my experience hugely,career_growth,direct
Stress levels are low compared to my previous job,work_life_balance,direct
People here actually believe in the work we do,culture,direct
My gym sessions haven't been cancelled once this month,work_life_balance,indirect
There's no obvious next step for someone like me here,career_growth,indirect
I feel comfortable telling my boss when something's wrong,management,indirect
Staff are made to feel disposable,culture,direct
You can feel the tension the moment you walk into some rooms,culture,indirect
Senior management responds to emails promptly,management,direct
The values of the organisation match day to day behaviour,culture,direct
Nobody made me feel silly for asking a basic question,culture,indirect
The culture of kindness here is rare and genuine,culture,direct
I was given ownership of a project well above my grade,career_growth,direct
The on-call rota leaves me exhausted every other week,work_life_balance,direct
Constant overtime is expected but never acknowledged,work_life_balance,direct
I've raised concerns twice and nothing ever happens,management,indirect
Nobody above me changes their mind every other day,management,indirect
It feels like everyone's just watching their own back,culture,indirect
The people running things actually turn up to team meetings,management,indirect
Decisions from the top rarely blindside us,management,indirect
The pace here is relentless with no let-up,work_life_balance,direct
The four-day week trial has improved my life massively,work_life_balance,direct
New ideas from any level get a proper hearing,culture,direct
I was nominated for the high-potential talent programme,career_growth,direct
My development plan hasn't been touched in over a year,career_growth,direct
Constantly expected to work beyond contracted hours,work_life_balance,direct
Wellbeing is genuinely prioritised here,culture,direct
I never feel like I'm being watched over my shoulder,management,indirect
I feel stuck in the same spot no matter how hard I try,career_growth,indirect
The last time I got feedback was months ago,management,indirect
I don't feel like I'm building toward anything anymore,career_growth,indirect
"The culture here encourages healthy debate, not conflict",culture,direct
My last two appraisals were cancelled and never rescheduled,career_growth,direct
"Psychological safety is real here, not just a slogan",culture,direct
Leadership genuinely values front-line feedback,management,direct
My manager sets clear goals and follows up on them,management,direct
Leadership rarely explains the reasoning behind changes,management,direct
Office politics overshadow the actual work most days,culture,direct
I've stopped making plans because work always interferes,work_life_balance,indirect
There are cliques and it's obvious who's in and who's out,culture,indirect
I get a full night's sleep most nights now,work_life_balance,indirect
The organisation actively celebrates cultural events throughout the year,culture,direct
Lots of stretch opportunities to build new skills,career_growth,direct
My manager never gives feedback until something goes wrong,management,direct
Trust feels like it has to be earned the hard way here,culture,indirect
Workload has become unmanageable over the past year,work_life_balance,direct
I feel like my time is respected by whoever assigns tasks,management,indirect
My partner barely sees me anymore,work_life_balance,indirect
Decisions are explained clearly and involve the team,management,direct
I'm doing the exact same thing I was doing three years ago,career_growth,indirect
There's a real sense of shared ownership over outcomes,culture,direct
My line manager genuinely cares about my development,management,direct
